"","geneid","SRR1177981","SRR1177982","SRR1177983","SRR1178008","SRR1178009","SRR1178010","SRR1178014","SRR1178021","SRR1178047"
"15849","NM_001025763","0","0","0","0","0","0","0","0","0"
"15850","NM_001037547","0","0","0","0","0","0","0","0","0"
"15851","NM_001033074","0","0","0","0","0","0","0","0","0"
"15852","NM_173299","0","0","0","0","0","0","0","0","2"
"15853","NM_022544","0","0","0","0","0","0","0","0","0"
"15854","NM_001037548","0","0","0","0","0","0","0","0","0"
"15855","NM_145087","0","0","0","0","0","0","0","0","0"
"15856","NM_001037549","0","0","0","0","0","0","0","0","0"
"15857","NM_001037504","0","0","0","0","0","0","0","0","0"
"15858","NM_001037523","0","0","0","0","0","0","0","0","0"
"15859","NM_001037852","0","0","0","0","0","0","0","0","0"
"15860","NM_001037850","0","0","0","0","0","0","0","0","0"
"15861","NM_001037524","0","0","0","0","0","0","0","0","0"
"15862","NM_001037522","0","0","0","0","0","0","0","0","0"
"15863","NM_001037552","0","0","0","0","0","0","0","0","0"
"15864","NM_001037511","0","0","0","0","0","0","0","0","0"
"15865","NM_001037551","0","0","0","0","0","0","0","0","0"
"15866","NM_001012228","24","57","20","10","1","2","7","16","17"
